experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_none,erd_lr,0.6055555555555556,0.6045669729880256,0.6055555555555555,0.21217464988805587,0.5555555555555556,0.6555555555555556,0.6338271604938271,0.6259353220158278,65,180
E05_none,erd_lr,0.610840108401084,0.6002734107997265,0.6046511627906976,0.2290621083091072,0.4777777777777778,0.7439024390243902,0.6848238482384824,0.6798441025163328,66,172
E05_none,erd_lr,0.5333333333333333,0.52,0.5333333333333333,0.07071067811865475,0.36666666666666664,0.7,0.5212345679012346,0.6154435182283515,67,180
E05_none,erd_lr,0.5888888888888889,0.5675324675324676,0.5888888888888889,0.19845557534273353,0.8111111111111111,0.36666666666666664,0.6782716049382717,0.6427698054981703,68,180
E05_none,erd_lr,0.5833333333333333,0.5649511778544036,0.5833333333333334,0.18283168583540635,0.7888888888888889,0.37777777777777777,0.6407407407407408,0.6360064345575014,69,180
E05_none,erd_lr,0.5388888888888889,0.5347388745289776,0.5388888888888889,0.07920356339998479,0.4444444444444444,0.6333333333333333,0.5169135802469136,0.5113443496809988,70,180
E05_none,erd_lr,0.6444444444444444,0.64,0.6444444444444445,0.2962974987950586,0.5333333333333333,0.7555555555555555,0.6879012345679013,0.6682356360532896,71,180
E05_none,erd_lr,0.6222222222222222,0.6141722355314588,0.6222222222222222,0.25533108999344634,0.7666666666666667,0.4777777777777778,0.6133333333333333,0.5638838458708454,72,180
E05_none,erd_lr,0.5856368563685637,0.5784313725490196,0.5930232558139535,0.18094745141165378,0.7444444444444445,0.4268292682926829,0.5799457994579945,0.5983003349313325,73,172
E05_none,erd_lr,0.6111111111111112,0.6071829405162739,0.6111111111111112,0.22680460581325723,0.7111111111111111,0.5111111111111111,0.6417283950617284,0.6328816594522612,74,180
E05_none,erd_lr,0.6444444444444444,0.6433436532507739,0.6444444444444445,0.2906888370749727,0.5888888888888889,0.7,0.6729629629629629,0.6245680186421226,75,180
E05_none,erd_lr,0.6521419009370817,0.6522380058965425,0.653179190751445,0.30465107274034486,0.6265060240963856,0.6777777777777778,0.7099062918340027,0.6363813615244476,76,173
E05_none,erd_lr,0.7722222222222221,0.7718772217242125,0.7722222222222223,0.546098730201382,0.8111111111111111,0.7333333333333333,0.835679012345679,0.8248230009245462,77,180
E05_none,erd_lr,0.5987654320987654,0.5964360228477614,0.5964912280701754,0.19782959805985972,0.5555555555555556,0.6419753086419753,0.6330589849108368,0.6467530896724288,78,171
E05_none,erd_lr,0.6833333333333333,0.681672923582886,0.6833333333333333,0.37055268538913394,0.6111111111111112,0.7555555555555555,0.7340740740740741,0.715647092506587,79,180
E05_none,erd_lr,0.6000000000000001,0.599208312716477,0.6,0.2007948367139221,0.5555555555555556,0.6444444444444445,0.661358024691358,0.6434523358888438,80,180
E05_none,erd_lr,0.8611111111111112,0.8607630186577555,0.8611111111111112,0.7258606443538754,0.9111111111111111,0.8111111111111111,0.9424691358024692,0.946833352921733,81,180
E05_none,erd_lr,0.6166666666666667,0.6113770768797522,0.6166666666666667,0.23995690956687132,0.5,0.7333333333333333,0.6812345679012346,0.681306844784813,82,180
E05_none,erd_lr,0.7277777777777779,0.7170809943865277,0.7277777777777777,0.49447860510753233,0.9222222222222223,0.5333333333333333,0.8485185185185184,0.8301576915892864,83,180
E05_none,erd_lr,0.5777777777777777,0.5744151319064211,0.5777777777777777,0.15807356326200073,0.4888888888888889,0.6666666666666666,0.6127160493827161,0.6224573749001676,84,180
E05_none,erd_lr,0.6055555555555556,0.6011111457910672,0.6055555555555555,0.21597882673691918,0.7111111111111111,0.5,0.6522222222222224,0.6445293749226213,85,180
E05_none,erd_lr,0.6,0.5792207792207792,0.6,0.22326252226057522,0.8222222222222222,0.37777777777777777,0.6676543209876542,0.676893832302696,86,180
E05_none,erd_lr,0.6499999999999999,0.6475524475524476,0.65,0.304255531702266,0.5666666666666667,0.7333333333333333,0.7595061728395062,0.7550065376693891,87,180
E05_none,erd_lr,0.4581552706552707,0.40856180856180857,0.4528301886792453,-0.10150007107121091,0.17592592592592593,0.7403846153846154,0.46634615384615385,0.4940540523344685,88,212
E05_none,erd_lr,0.7028636884306987,0.7024790997714716,0.7058823529411765,0.41190752862995716,0.7835051546391752,0.6222222222222222,0.783963344788087,0.7896059711172243,89,187
E05_none,erd_lr,0.5833333333333334,0.5817714303417082,0.5833333333333334,0.1679256455515028,0.5222222222222223,0.6444444444444445,0.5988888888888889,0.5978437686809348,90,180
E05_none,erd_lr,0.6727994227994227,0.6732608695652174,0.6766467065868264,0.3473070055547935,0.6233766233766234,0.7222222222222222,0.7252525252525253,0.6790003055085101,91,167
E05_none,erd_lr,0.5231481481481481,0.4756663759986802,0.5231481481481481,0.05797125801881866,0.2222222222222222,0.8240740740740741,0.5453532235939643,0.5665671978563267,92,216
E05_none,erd_lr,0.56875,0.5646606914212549,0.5764705882352941,0.14258085802543347,0.4375,0.7,0.5736111111111111,0.5205971108898668,93,170
E05_none,erd_lr,0.7611111111111111,0.7611037377696843,0.7611111111111111,0.5222544611469819,0.7555555555555555,0.7666666666666667,0.8296296296296297,0.8421639489366006,94,180
E05_none,erd_lr,0.5777777777777777,0.5769421078673924,0.5777777777777777,0.15617376188860607,0.6222222222222222,0.5333333333333333,0.6255555555555555,0.6354319495070452,95,180
E05_none,erd_lr,0.6849206349206349,0.6683006535947713,0.6781609195402298,0.3994742282351935,0.4888888888888889,0.8809523809523809,0.7810846560846562,0.7899573306309748,96,174
E05_none,erd_lr,0.6200854700854701,0.5808601750139639,0.6011904761904762,0.27886578046120053,0.35555555555555557,0.8846153846153846,0.6917378917378918,0.7377093309989511,97,168
E05_none,erd_lr,0.5388888888888889,0.5347388745289776,0.5388888888888889,0.07920356339998479,0.4444444444444444,0.6333333333333333,0.5754320987654321,0.5684749987477391,98,180
