experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_spatial_control,erd_lr,0.519725343320849,0.5191779110444779,0.5195530726256983,0.03952477250346538,0.4888888888888889,0.550561797752809,0.5473158551810237,0.5498518833263208,74,179
E05_spatial_control,erd_lr,0.6655957161981259,0.6647286821705426,0.6647398843930635,0.33105850386093677,0.6867469879518072,0.6444444444444445,0.7016064257028112,0.6333347650624812,76,173
E05_spatial_control,erd_lr,0.7121360411059456,0.710919855948239,0.7109375,0.42401279472069847,0.7377049180327869,0.6865671641791045,0.7359921702960606,0.6736689381519632,77,128
E05_spatial_control,erd_lr,0.5763649425287356,0.5747893132508517,0.5748502994011976,0.15292776449920303,0.5402298850574713,0.6125,0.61566091954023,0.6587626272299799,78,167
E05_spatial_control,erd_lr,0.7051920341394026,0.7023809523809523,0.7066666666666667,0.421313366831765,0.8157894736842105,0.5945945945945946,0.7652916073968705,0.7839592417219202,79,75
E05_spatial_control,erd_lr,0.4832792207792208,0.48273337400854177,0.4840764331210191,-0.03355066658933031,0.44155844155844154,0.525,0.5108766233766233,0.5312904979529377,80,157
E05_spatial_control,erd_lr,0.7333333333333334,0.7312095569935291,0.7333333333333333,0.4742206897860021,0.8222222222222222,0.6444444444444445,0.8370370370370371,0.8421935135883843,81,180
E05_spatial_control,erd_lr,0.5971199793361746,0.5959517573641155,0.5965909090909091,0.19503501883850258,0.550561797752809,0.6436781609195402,0.6562056050626373,0.6362394888273549,82,176
E05_spatial_control,erd_lr,0.5105263157894737,0.4954425169067921,0.5064102564102564,0.022217829663495132,0.35,0.6710526315789473,0.5677631578947369,0.5704941863334698,84,156
E05_spatial_control,erd_lr,0.6235632183908046,0.5927935646627636,0.593103448275862,0.2504235998835693,0.7758620689655172,0.47126436781609193,0.6880697582243361,0.6081603017212032,85,145
E05_spatial_control,erd_lr,0.5049350024073183,0.5038461538461538,0.5038759689922481,0.009877140618543421,0.532258064516129,0.47761194029850745,0.4884448724121329,0.4799620107851945,86,129
E05_spatial_control,erd_lr,0.5438273670123788,0.53632531614183,0.5363636363636364,0.08784597559509973,0.47540983606557374,0.6122448979591837,0.5978588156574105,0.6384925480990459,87,110
